IG-AUTOMATIK Mobile läuft auf Port 8787
Projekt: S:\all my projects\IG-AUTOMATIK
Öffne auf dem iPhone: http://<PC-IP>:8787
[Mobile] "GET /api/health HTTP/1.1" 200 -
[Mobile] "GET /api/jobs HTTP/1.1" 200 -
[Mobile] "GET / HTTP/1.1" 200 -
[Mobile] "GET /api/health HTTP/1.1" 200 -
[Mobile] "GET /api/health HTTP/1.1" 200 -
[Mobile] "GET /api/jobs HTTP/1.1" 200 -
[Mobile] "GET / HTTP/1.1" 200 -
[Mobile] "GET /manifest.webmanifest HTTP/1.1" 200 -
[Mobile] "GET /style.css HTTP/1.1" 200 -
[Mobile] "GET /app.js HTTP/1.1" 200 -
[Mobile] "GET /api/poster/00ec95774d5a4fe8bb658b7831df62e7/REELS/iphone_20260823_103238_00ec9577_IMG_9020_A.mp4 HTTP/1.1" 200 -
[Mobile] "GET /api/poster/00ec95774d5a4fe8bb658b7831df62e7/REELS/iphone_20260823_103238_00ec9577_IMG_9020_B.mp4 HTTP/1.1" 200 -
[Mobile] "GET /api/poster/2f510ab552424f8191d9bc2f672b8b96/REELS/iphone_20260823_102958_2f510ab5_SnapInsta.to_AQNuf_K5G8AI0W5oTvmhkEHoQ46WLnMt8bzeQ7-BRQWKDiSclhCciCycUyTvZvH5f5o_A.mp4 HTTP/1.1" 200 -
[Mobile] "GET /api/poster/2f510ab552424f8191d9bc2f672b8b96/REELS/iphone_20260823_102958_2f510ab5_SnapInsta.to_AQNuf_K5G8AI0W5oTvmhkEHoQ46WLnMt8bzeQ7-BRQWKDiSclhCciCycUyTvZvH5f5o_B.mp4 HTTP/1.1" 200 -
[Mobile] "GET /api/preview/3a12bd81458941bc9234ec187173c3bc/POSTS/iphone_20260823_110055_3a12bd81_A6570B20-6EAD-4437-8026-F908F3545915_A.jpg HTTP/1.1" 200 -
[Mobile] "GET /api/jobs HTTP/1.1" 200 -
